name,c25,c50,c75,cav,h25,h50,h75,hav,lat,lon
CUHK,0.350746269,0.570977918,0.780720339,0.56809754,7,13,29,20.47683924,21,115
CityU,0.372093023,0.595588235,0.8,0.585939464,6,12,23,18.16696589,23,114
Fudan,0.385164051,0.59335443,0.784375,0.585351811,7,12,21,17.00505051,32,123
PolyU,0.355858855,0.566137566,0.772277228,0.570134939,6,13,24,17.6710311,22.3048164,114.1804578
HKUST,0.423315603,0.6375,0.821428571,0.61366403,6,11,23,17.66376307,22,113
HUST,0.392212442,0.561320755,0.777777778,0.575299837,7,12,19,14.71966527,30.512623,114.408995
KoreaU,0.405246672,0.612121212,0.821428571,0.608074829,5,10,21,15.65457686,38,127
KyotoU,0.348600509,0.544303797,0.764705882,0.560448549,7,13,24,17.78031384,35,136
NJU,0.371428571,0.513601741,0.714927507,0.540095792,8,15,22,17.2601626,32.0568391,118.7789602
NTU,0.473579262,0.663551402,0.829497908,0.642075405,6,10,17,14.03565062,3,102
National Taiwan U,0.384253028,0.604868914,0.806451613,0.592119481,6,12,22,16.66205837,25.0173405,121.5397518
NUS,0.411719939,0.64516129,0.835694698,0.619949681,6,11,22,17.02312412,1,105
OsakaU,0.319283686,0.518661519,0.746808511,0.535532465,7,14,25,18.76296296,34,135
PKU,0.404645874,0.575963719,0.777777778,0.58775583,7,13,22,16.48280605,38,115
SNU,0.382845188,0.611764706,0.833333333,0.600463502,6,12,26,18.03914259,37,126
SJTU,0.403189066,0.591397849,0.788461538,0.589723663,6,11,19,14.70376176,30,121
Sun Yat-Sen,0.431349782,0.613065327,0.776119403,0.604330006,6,11,18,14.37055838,23.103702,113.29947
THU,0.372379778,0.593277311,0.782828283,0.578693425,6,11,21,15.98849473,40,117
HKU,0.359338061,0.592272203,0.807191245,0.585228349,6,13,25,18.31974249,20,112
USTC,0.423756019,0.632258065,0.81025641,0.614495805,6,10,19,14.33109244,31.82159309999999,117.28111360000003
TokyoU,0.380752622,0.572847682,0.769230769,0.575526213,7,12,23,17.86730269,35.7126775,139.761989
XJTU,0.410714286,0.574380165,0.76635514,0.582076672,7,11,18,14.30733945,34.250803,108.983693
ZJU,0.367095391,0.557275542,0.763819095,0.567004191,7,12,21,15.84378844,30.263944,120.12327900000003
