name,c25,c50,c75,cav,h25,h50,h75,hav,lat,lon
Brown,0.43719611021069693,0.6455696202531646,0.8378378378378378,0.6323876109872907,6,12,26,19.9873417721519,41.5,-71.5
Caltech,0.4978540772532189,0.7154088050314465,0.8787878787878788,0.677505309772096,6,10,19,18.149453219927096,35,-117
CMU,0.4746031746031746,0.6962457337883959,0.8560885608856088,0.6565780152362997,6,10,23,18.401927047487955,40.4428081,-79.94301280000002
Columbia,0.45732899022801304,0.6767830045523521,0.8604516502605675,0.6490695555733446,6,11,25,19.66480686695279,40.8075355,-73.96257270000001
Cornell,0.4544807965860597,0.671875,0.8517241379310345,0.6451238118821797,7,12,25,19.301498127340825,42.4534492,-76.47350269999998
Duke,0.3926545237384294,0.6259541984732825,0.832616046726099,0.6115265148539721,7,14,31,22.561768530559167,36,-79
GA Tech,0.46347861178369654,0.6923076923076923,0.8571428571428571,0.6526652076160627,5,9,21,16.330666666666666,33.7784626,-84.39888059999998
Harvard,0.49975049900199603,0.6918429003021148,0.8554033485540334,0.6635006425091015,7,11,20,19.007012393998696,43,-72
Johns Hopkins,0.42168674698795183,0.6295058906277475,0.8320413436692506,0.6194160161757669,7,12,26,20.79945615227736,39.3299013,-76.6205177
MIT,0.5688259109311741,0.7531512605042017,0.8809523809523809,0.7058220940786862,6,9,15,15.37722865186112,42,-71
McGill,0.42547603414313856,0.6514851485148515,0.8499452354874042,0.6298230880720734,6,11,24,18.024089306698002,46,-73
McMaster,0.3675889328063241,0.5728155339805825,0.7916666666666666,0.5835982074298797,7,15,28,21.865121180189675,43.260879,-79.91922540000002
NYU,0.46511627906976744,0.674496644295302,0.8478260869565217,0.6526211179523063,7,11,24,18.274698795180722,40.5,-74
Northwestern,0.4716624685138539,0.6736842105263158,0.8518518518518519,0.6488839018806262,7,11,23,18.715966386554623,42.5,-87
OSU,0.4280701754385965,0.648068669527897,0.8364779874213837,0.6302293004298991,6,12,23,17.52354570637119,40.0141905,-83.0309143
Princeton,0.5117658312607615,0.7272727272727273,0.8879120879120879,0.6862735219145378,6,9,21,19.450528338136408,40.3439888,-74.65144809999998
Purdue,0.4334763948497854,0.6547788873038516,0.861878453038674,0.6387856185798512,5,10,21,15.933678756476684,40.4237054,-86.92119459999998
Rice,0.4878048780487805,0.7016861219195849,0.8708333333333333,0.6617825555968353,6,10,23,18.195058517555267,29.7173941,-95.4018312
Simon Fraser,0.42298791463101054,0.6473214285714286,0.8392685274302214,0.6314731979255368,6,12,24,17.231311706629054,49.2780937,-122.91988329999998
Stanford,0.5258226272830423,0.7314814814814815,0.8807588075880759,0.6892401529545816,6,10,18,17.76019656019656,37,-123
SUNY Stony Brook,0.4204152249134948,0.6177156177156177,0.8354430379746836,0.6191567857599612,6,13,26,19.510773130544994,40.9154498,-73.1227136
Alberta,0.410913140311804,0.6190476190476191,0.8218085106382979,0.6138994737550065,6,11,23,17.105604719764013,53.5232189,-113.52631859999997
UBC,0.41383219954648526,0.6264775413711584,0.8367346938775511,0.6180536498752877,6,13,26,19.150542495479204,50,-122
Calgary,0.4298850574712644,0.6546052631578947,0.8443983402489627,0.6348257262453455,6,10,21,15.786666666666667,51.0781599,-114.1358007
UCB,0.4946808510638298,0.711947820930922,0.8761061946902655,0.6714954943534056,6,10,22,19.58572567783094,38,-122
UCLA,0.43543669034684496,0.6651785714285714,0.840531561461794,0.6327873713980658,7,12,27,20.930913860953215,34,-118
UCSD,0.4577639751552795,0.6842105263157895,0.8478260869565217,0.6441394016845806,7,11,25,20.323731138545952,32,-117
UCSB,0.4621212121212121,0.6802721088435374,0.8547486033519553,0.6516153417266792,6,11,25,19.592737978410206,34,-120
UI Chicago,0.4395998974095922,0.6491228070175439,0.8575498575498576,0.6423934858209066,6,12,21,16.299407114624508,41.5,-88
UIUC,0.46512152908420495,0.695575221238938,0.8740849194729137,0.6596002210814875,6,10,21,16.904827586206896,40.10195230000001,-88.22716149999997
Montreal,0.3943580886586068,0.5950991831971996,0.8137254901960784,0.5948133695853254,7,14,26,18.99867724867725,45.50561560000001,-73.6137592
Chapel Hill NC,0.45355587808417996,0.6495098039215687,0.8368932038834952,0.6363018941765459,7,12,25,19.33759246805649,35,-80
Ottawa,0.42444444444444446,0.6184895833333334,0.8134715025906736,0.6149496760131686,6,12,21,16.47127659574468,45.4231064,-75.68313289999998
Upenn,0.4489544895448955,0.6810810810810811,0.85,0.6453657406445976,7,11,24,19.190689346463742,39.9522188,-75.1932137
Saskatchewan,0.4288461538461538,0.6156299840510366,0.8306451612903226,0.6210831154647403,6,11,20,15.350354609929077,52.1334003,-106.63135820000002
UT Austin,0.452319587628866,0.6819012797074955,0.8592105263157894,0.6500223062734233,6,11,22,17.3867288750648,30.2850284,-97.73352260000001
Toronto,0.4217252396166134,0.6268115942028986,0.8311688311688312,0.6187319457675174,7,12,25,19.316131025957972,43.6628917,-79.39565640000001
Washington,0.41611433305716655,0.6278260869565218,0.8197573656845754,0.6151306240817682,8,14,27,21.266666666666666,47.65533509999999,-122.30351989999997
Waterloo,0.42916666666666664,0.6552315608919382,0.8235294117647058,0.6270220446817328,6,11,22,15.872813990461049,43.4731293,-80.54168700000002
Western Ontario,0.38178826110806363,0.5965724872626216,0.8144654088050315,0.5982425805323013,7,14,27,18.671701913393758,43.0095971,-81.27373360000001
Yale,0.4696969696969697,0.685611510791367,0.8594730238393977,0.6560402758431954,7,11,23,19.37911464245176,41.5,-72.5
